team,season,name,gameId,opposingTeam,home_or_away,situation,penaltiesFor,penaltiesAgainst,delta,total
NYR,2008,NYR,2008020001,T.B,AWAY,all,4,7,3,11
T.B,2008,T.B,2008020001,NYR,HOME,all,7,4,3,11
PIT,2008,PIT,2008020002,OTT,AWAY,all,6,7,1,13
OTT,2008,OTT,2008020002,PIT,HOME,all,7,6,1,13
NYR,2008,NYR,2008020003,T.B,HOME,all,6,5,1,11
T.B,2008,T.B,2008020003,NYR,AWAY,all,5,6,1,11
PIT,2008,PIT,2008020004,OTT,HOME,all,5,8,3,13
OTT,2008,OTT,2008020004,PIT,AWAY,all,8,5,3,13
TOR,2008,TOR,2008020005,DET,AWAY,all,3,2,1,5
DET,2008,DET,2008020005,TOR,HOME,all,2,3,1,5
BOS,2008,BOS,2008020006,COL,AWAY,all,5,2,3,7
COL,2008,COL,2008020006,BOS,HOME,all,2,5,3,7
CGY,2008,CGY,2008020007,VAN,AWAY,all,11,8,3,19
VAN,2008,VAN,2008020007,CGY,HOME,all,8,11,3,19
ANA,2008,ANA,2008020008,S.J,AWAY,all,7,2,5,9
S.J,2008,S.J,2008020008,ANA,HOME,all,2,7,5,9
N.J,2008,N.J,2008020009,NYI,HOME,all,8,6,2,14
NYI,2008,NYI,2008020009,N.J,AWAY,all,6,8,2,14
NYR,2008,NYR,2008020010,CHI,HOME,all,5,5,0,10
CHI,2008,CHI,2008020010,NYR,AWAY,all,5,5,0,10
CAR,2008,CAR,2008020011,FLA,HOME,all,6,4,2,10
FLA,2008,FLA,2008020011,CAR,AWAY,all,4,6,2,10
BUF,2008,BUF,2008020012,MTL,HOME,all,5,6,1,11
MTL,2008,MTL,2008020012,BUF,AWAY,all,6,5,1,11
WSH,2008,WSH,2008020013,ATL,AWAY,all,12,9,3,21
ATL,2008,ATL,2008020013,WSH,HOME,all,9,12,3,21
NSH,2008,NSH,2008020014,STL,AWAY,all,6,4,2,10
STL,2008,STL,2008020014,NSH,HOME,all,4,6,2,10
CBJ,2008,CBJ,2008020015,DAL,AWAY,all,10,5,5,15
DAL,2008,DAL,2008020015,CBJ,HOME,all,5,10,5,15
MTL,2008,MTL,2008020016,TOR,AWAY,all,6,9,3,15
TOR,2008,TOR,2008020016,MTL,HOME,all,9,6,3,15
DET,2008,DET,2008020017,OTT,AWAY,all,6,6,0,12
OTT,2008,OTT,2008020017,DET,HOME,all,6,6,0,12
STL,2008,STL,2008020018,NYI,AWAY,all,4,3,1,7
NYI,2008,NYI,2008020018,STL,HOME,all,3,4,1,7
PHI,2008,PHI,2008020019,NYR,HOME,all,9,9,0,18
NYR,2008,NYR,2008020019,PHI,AWAY,all,9,9,0,18
WSH,2008,WSH,2008020020,CHI,HOME,all,6,4,2,10
CHI,2008,CHI,2008020020,WSH,AWAY,all,4,6,2,10
FLA,2008,FLA,2008020021,ATL,HOME,all,7,7,0,14
ATL,2008,ATL,2008020021,FLA,AWAY,all,7,7,0,14
PIT,2008,PIT,2008020022,N.J,HOME,all,7,7,0,14
N.J,2008,N.J,2008020022,PIT,AWAY,all,7,7,0,14
CAR,2008,CAR,2008020023,T.B,AWAY,all,7,9,2,16
T.B,2008,T.B,2008020023,CAR,HOME,all,9,7,2,16
NSH,2008,NSH,2008020024,DAL,HOME,all,10,13,3,23
DAL,2008,DAL,2008020024,NSH,AWAY,all,13,10,3,23
